,DISTRICT,Latitude,Longitude,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
0,BAGALKOT,16.1357,75.6208,86,126,37,604,11,712,2
1,BANGALORE COMMR.,12.9716,77.5946,642,947,552,2630,407,3832,0
2,BANGALORE RURAL,12.9716,77.5946,266,175,284,1041,2,1149,0
3,BELGAUM,15.8497,74.4977,280,330,107,1576,41,2342,0
4,BELLARY,15.1394,76.9214,150,173,99,729,2,803,1
5,BIDAR,17.9104,77.5199,105,172,86,712,23,832,0
6,BIJAPUR,16.8302,75.71,155,225,36,883,0,1392,10
7,CHAMARAJNAGAR,12.0526,77.2865,88,55,46,527,0,387,1
8,CHICKMAGALUR,13.4045,75.6208,159,114,56,692,59,1035,5
9,CHITRADURGA,14.1823,76.5488,229,177,73,954,2,648,0
10,DAKSHIN KANNADA,12.8438,75.2479,127,70,20,479,39,489,0
11,DAVANAGERE,14.3318,75.9928,171,174,106,873,25,1092,0
12,DHARWAD COMMR.,15.3652,75.0611,40,137,31,135,25,426,0
13,DHARWAD RURAL,15.3652,75.0611,44,38,26,250,0,198,0
14,GADAG,15.4026,75.6208,44,41,28,357,2,313,0
15,GULBARGA,17.4047,76.6413,306,431,95,1264,7,1534,0
16,HASSAN,13.0753,76.1748,209,150,123,965,2,1213,3
17,HAVERI,14.661,75.4345,75,40,30,540,0,445,0
18,K.G.F.,12.9553,78.2737,64,63,57,181,2,246,0
19,KODAGU,12.3375,75.8069,129,55,30,311,12,413,0
20,KOLAR,13.177,78.202,188,190,157,401,3,426,0
21,KOPPAL,15.6219,76.1784,102,92,38,314,4,556,0
22,MANDYA,12.5644,76.7337,256,182,131,915,3,1354,1
23,MYSORE COMMR.,12.1873,76.3637,124,142,73,218,1,960,21
24,MYSORE RURAL,12.1873,76.3637,200,158,123,1053,2,1141,0
25,RAICHUR,15.9268,76.6413,195,192,64,1022,33,1301,0
26,RAILWAYS,,,5,2,11,17,1,3,0
27,SHIMOGA,14.0086,75.1545,195,216,58,1119,42,2273,0
28,TOTAL,,,5174,5315,2918,23699,831,30052,47
29,TUMKUR,13.371,76.6413,208,108,176,1090,2,803,0
30,UDUPI,13.5401,74.8741,75,26,11,305,12,295,0
31,UTTAR KANNADA,14.7937,74.6869,73,58,17,632,48,625,0
