DISTRICT,Year,Total,Latitude,Longitude
BAGALKOT,2012,168,16.1357,75.6208
BANGALORE COMMR.,2012,1470,12.9716,77.5946
BANGALORE RURAL,2012,248,12.9716,77.5946
BELGAUM,2012,597,15.8497,74.4977
BELLARY,2012,203,15.1394,76.9214
BIDAR,2012,186,17.9104,77.5199
BIJAPUR,2012,224,16.8302,75.71
CBPURA,2012,139,12.0526,77.2865
CHAMARAJNAGAR,2012,146,13.4045,75.6208
CHICKMAGALUR,2012,187,14.1823,76.5488
CHITRADURGA,2012,281,12.8438,75.2479
DAKSHIN KANNADA,2012,108,14.3318,75.9928
DAVANAGERE,2012,281,15.3652,75.0611
DHARWAD COMMR.,2012,131,15.3652,75.0611
DHARWAD RURAL,2012,70,15.4026,75.6208
GADAG,2012,126,17.4047,76.6413
GULBARGA,2012,361,13.0753,76.1748
HASSAN,2012,321,14.661,75.4345
HAVERI,2012,155,12.9553,78.2737
K.G.F.,2012,41,12.3375,75.8069
KODAGU,2012,85,13.177,78.202
KOLAR,2012,104,15.6219,76.1784
KOPPAL,2012,111,12.5644,76.7337
MANDYA,2012,438,12.1873,76.3637
MANGALORE CITY,2012,98,12.1873,76.3637
MYSORE COMMR.,2012,94,15.9268,76.6413
MYSORE RURAL,2012,397,,
RAICHUR,2012,376,14.0086,75.1545
RAILWAYS,2012,8,,
RAMANAGAR,2012,271,13.371,76.6413
SHIMOGA,2012,427,13.5401,74.8741
TUMKUR,2012,364,14.7937,74.6869
UDUPI,2012,88,,
UTTAR KANNADA,2012,201,,
YADGIRI,2012,198,,
